quote_sk,quote_id,customer_sk,channel_sk,date_sk,date,year,quarter,month,month_name,week,day_name,channel_name,gender,customer_age,region,quote_source,device_type,quoted_premium,quote_value_band,days_since_last_contact,quote_status,quote_stage,accepted_offer,conversion_flag,quote_count,policy_issued_flag,conversion_rate,mobile_quote_flag,desktop_quote_flag,high_value_quote,medium_value_quote,low_value_quote
1,Q100000,1,154,20250517,2025-05-17,2025,2,5,May,20,Saturday,,Male,20,24.0,Aggregator,Tablet,3752.0,Low,259,Abandoned,Document Upload,0,0,1,0,0,0,0,0,0,1
2,Q100001,2,154,20250924,2025-09-24,2025,3,9,September,39,Wednesday,,Male,20,17.0,Mobile App,Desktop,4085.0,Low,151,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
3,Q100002,3,154,20250707,2025-07-07,2025,3,7,July,28,Monday,,Female,20,39.0,Aggregator,Mobile,4510.0,Medium,292,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
4,Q100003,4,155,20251024,2025-10-24,2025,4,10,October,43,Friday,,Female,20,22.0,Mobile App,Tablet,3920.0,Low,60,Abandoned,Premium Calculation,0,0,1,0,0,0,0,0,0,1
5,Q100004,5,154,20250106,2025-01-06,2025,1,1,January,2,Monday,,Female,20,47.0,Mobile App,Mobile,3756.0,Low,54,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
6,Q100005,6,154,20251029,2025-10-29,2025,4,10,October,44,Wednesday,,Female,20,37.0,Aggregator,Tablet,3721.0,Low,132,Abandoned,Premium Calculation,0,0,1,0,0,0,0,0,0,1
7,Q100006,7,154,20250813,2025-08-13,2025,3,8,August,33,Wednesday,,Female,20,10.0,Aggregator,Mobile,4350.0,Low,290,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
8,Q100007,8,154,20250721,2025-07-21,2025,3,7,July,30,Monday,,Female,20,20.0,Website,Mobile,3670.0,Low,35,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
9,Q100008,9,154,20251007,2025-10-07,2025,4,10,October,41,Tuesday,,Male,20,42.0,Mobile App,Desktop,4264.0,Low,137,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
10,Q100009,10,154,20250302,2025-03-02,2025,1,3,March,9,Sunday,,Female,20,29.0,Aggregator,Mobile,3771.0,Low,51,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
11,Q100010,11,154,20250503,2025-05-03,2025,2,5,May,18,Saturday,,Female,20,50.0,Mobile App,Mobile,4116.0,Low,27,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
12,Q100011,12,154,20250112,2025-01-12,2025,1,1,January,2,Sunday,,Male,20,15.0,Aggregator,Mobile,3864.0,Low,24,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
13,Q100012,13,154,20250612,2025-06-12,2025,2,6,June,24,Thursday,,Male,20,3.0,Agent,Desktop,3980.0,Low,172,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
14,Q100013,14,154,20251218,2025-12-18,2025,4,12,December,51,Thursday,,Male,20,46.0,Website,Mobile,4108.0,Low,158,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
15,Q100014,15,154,20250504,2025-05-04,2025,2,5,May,18,Sunday,,Male,20,36.0,Aggregator,Mobile,3737.0,Low,184,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
16,Q100015,16,154,20250905,2025-09-05,2025,3,9,September,36,Friday,,Female,20,15.0,Mobile App,Desktop,4022.0,Low,93,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
17,Q100016,17,154,20250511,2025-05-11,2025,2,5,May,19,Sunday,,Female,20,28.0,Agent,Mobile,3749.0,Low,183,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
18,Q100017,18,154,20251219,2025-12-19,2025,4,12,December,51,Friday,,Female,20,8.0,Website,Mobile,4521.0,Medium,258,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
19,Q100018,19,154,20250307,2025-03-07,2025,1,3,March,10,Friday,,Male,20,8.0,Aggregator,Tablet,4313.0,Low,221,Abandoned,Premium Calculation,0,0,1,0,0,0,0,0,0,1
20,Q100019,20,154,20250121,2025-01-21,2025,1,1,January,4,Tuesday,,Male,20,49.0,Agent,Desktop,3780.0,Low,147,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
21,Q100020,21,154,20250322,2025-03-22,2025,1,3,March,12,Saturday,,Male,20,3.0,Mobile App,Mobile,4311.0,Low,206,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
22,Q100021,22,154,20250711,2025-07-11,2025,3,7,July,28,Friday,,Female,20,43.0,Mobile App,Mobile,3958.0,Low,192,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
23,Q100022,23,154,20250825,2025-08-25,2025,3,8,August,35,Monday,,Female,20,47.0,Website,Mobile,4419.0,Low,58,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
24,Q100023,24,154,20250613,2025-06-13,2025,2,6,June,24,Friday,,Male,20,46.0,Aggregator,Desktop,3993.0,Low,192,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
25,Q100024,25,154,20251229,2025-12-29,2025,4,12,December,1,Monday,,Male,20,46.0,Agent,Desktop,4141.0,Low,69,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
26,Q100025,26,154,20250306,2025-03-06,2025,1,3,March,10,Thursday,,Female,20,39.0,Aggregator,Mobile,4063.0,Low,243,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
27,Q100026,27,154,20250208,2025-02-08,2025,1,2,February,6,Saturday,,Female,20,37.0,Mobile App,Desktop,4455.0,Low,88,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
28,Q100027,28,154,20250218,2025-02-18,2025,1,2,February,8,Tuesday,,Female,20,8.0,Website,Mobile,4035.0,Low,114,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
29,Q100028,29,154,20250118,2025-01-18,2025,1,1,January,3,Saturday,,Female,20,3.0,Mobile App,Mobile,3841.0,Low,80,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
30,Q100029,30,154,20250921,2025-09-21,2025,3,9,September,38,Sunday,,Male,20,41.0,Website,Desktop,4605.0,Medium,232,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
31,Q100030,31,154,20250808,2025-08-08,2025,3,8,August,32,Friday,,Female,20,46.0,Aggregator,Mobile,3926.0,Low,161,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
32,Q100031,32,154,20251107,2025-11-07,2025,4,11,November,45,Friday,,Male,20,46.0,Mobile App,Mobile,3810.0,Low,237,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
33,Q100032,33,154,20251217,2025-12-17,2025,4,12,December,51,Wednesday,,Female,20,26.0,Aggregator,Desktop,4109.0,Low,111,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
34,Q100033,34,154,20251213,2025-12-13,2025,4,12,December,50,Saturday,,Female,20,15.0,Aggregator,Mobile,3963.0,Low,292,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
35,Q100034,35,154,20250311,2025-03-11,2025,1,3,March,11,Tuesday,,Female,20,47.0,Mobile App,Tablet,3671.0,Low,93,Abandoned,Premium Calculation,0,0,1,0,0,0,0,0,0,1
36,Q100035,36,150,20250624,2025-06-24,2025,2,6,June,26,Tuesday,,Female,20,23.0,Aggregator,Mobile,3902.0,Low,255,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
37,Q100036,37,154,20250623,2025-06-23,2025,2,6,June,26,Monday,,Female,20,3.0,Aggregator,Desktop,4397.0,Low,165,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
38,Q100037,38,154,20250913,2025-09-13,2025,3,9,September,37,Saturday,,Male,20,13.0,Mobile App,Mobile,4506.0,Medium,172,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
39,Q100038,39,154,20250410,2025-04-10,2025,2,4,April,15,Thursday,,Male,20,13.0,Aggregator,Mobile,4210.0,Low,237,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
40,Q100039,40,154,20251110,2025-11-10,2025,4,11,November,46,Monday,,Male,20,47.0,Mobile App,Desktop,4124.0,Low,262,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
41,Q100040,41,154,20250701,2025-07-01,2025,3,7,July,27,Tuesday,,Female,20,35.0,Mobile App,Desktop,3708.0,Low,139,Abandoned,Document Upload,0,0,1,0,0,0,1,0,0,1
42,Q100041,42,154,20250920,2025-09-20,2025,3,9,September,38,Saturday,,Female,20,14.0,Mobile App,Mobile,4160.0,Low,204,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
43,Q100042,43,154,20250309,2025-03-09,2025,1,3,March,10,Sunday,,Female,20,46.0,Mobile App,Mobile,4331.0,Low,162,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
44,Q100043,44,154,20250712,2025-07-12,2025,3,7,July,28,Saturday,,Female,20,37.0,Website,Desktop,4125.0,Low,247,Abandoned,Premium Calculation,0,0,1,0,0,0,1,0,0,1
45,Q100044,45,154,20250306,2025-03-06,2025,1,3,March,10,Thursday,,Male,20,45.0,Aggregator,Mobile,4349.0,Low,102,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
46,Q100045,46,154,20250413,2025-04-13,2025,2,4,April,15,Sunday,,Male,20,24.0,Website,Tablet,4625.0,Medium,115,Abandoned,Document Upload,0,0,1,0,0,0,0,0,0,1
47,Q100046,47,154,20251008,2025-10-08,2025,4,10,October,41,Wednesday,,Female,20,50.0,Agent,Mobile,4432.0,Low,128,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
48,Q100047,48,120,20250216,2025-02-16,2025,1,2,February,7,Sunday,Partner,Male,20,28.0,Website,Mobile,3839.0,Low,60,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
49,Q100048,49,150,20250303,2025-03-03,2025,1,3,March,10,Monday,,Male,20,46.0,Aggregator,Mobile,5107.0,Medium,168,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
50,Q100049,50,154,20250131,2025-01-31,2025,1,1,January,5,Friday,,Male,20,50.0,Agent,Desktop,4336.0,Low,205,Abandoned,Payment,1,0,1,0,0,0,1,0,0,1
51,Q100050,51,154,20251106,2025-11-06,2025,4,11,November,45,Thursday,,Male,20,25.0,Agent,Mobile,4607.0,Medium,206,Abandoned,Premium Calculation,0,0,1,0,0,1,0,0,0,1
52,Q100051,52,154,20251117,2025-11-17,2025,4,11,November,47,Monday,,Male,20,39.0,Website,Mobile,4212.0,Low,56,Abandoned,Document Upload,0,0,1,0,0,1,0,0,0,1
