date_sk,date,year,quarter,quarter_name,month,month_name,month_short,week,week_of_month,day,day_name,day_of_week,day_of_year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,financial_year,financial_quarter
20220101,2022-01-01,2022,1,Q1,1,January,Jan,52,1,1,Saturday,6,1,True,True,False,True,False,True,False,2021-2022,Q4
20220102,2022-01-02,2022,1,Q1,1,January,Jan,52,1,2,Sunday,7,2,True,False,False,False,False,False,False,2021-2022,Q4
20220103,2022-01-03,2022,1,Q1,1,January,Jan,1,1,3,Monday,1,3,False,False,False,False,False,False,False,2021-2022,Q4
20220104,2022-01-04,2022,1,Q1,1,January,Jan,1,1,4,Tuesday,2,4,False,False,False,False,False,False,False,2021-2022,Q4
20220105,2022-01-05,2022,1,Q1,1,January,Jan,1,1,5,Wednesday,3,5,False,False,False,False,False,False,False,2021-2022,Q4
20220106,2022-01-06,2022,1,Q1,1,January,Jan,1,1,6,Thursday,4,6,False,False,False,False,False,False,False,2021-2022,Q4
20220107,2022-01-07,2022,1,Q1,1,January,Jan,1,1,7,Friday,5,7,False,False,False,False,False,False,False,2021-2022,Q4
20220108,2022-01-08,2022,1,Q1,1,January,Jan,1,2,8,Saturday,6,8,True,False,False,False,False,False,False,2021-2022,Q4
20220109,2022-01-09,2022,1,Q1,1,January,Jan,1,2,9,Sunday,7,9,True,False,False,False,False,False,False,2021-2022,Q4
20220110,2022-01-10,2022,1,Q1,1,January,Jan,2,2,10,Monday,1,10,False,False,False,False,False,False,False,2021-2022,Q4
20220111,2022-01-11,2022,1,Q1,1,January,Jan,2,2,11,Tuesday,2,11,False,False,False,False,False,False,False,2021-2022,Q4
20220112,2022-01-12,2022,1,Q1,1,January,Jan,2,2,12,Wednesday,3,12,False,False,False,False,False,False,False,2021-2022,Q4
20220113,2022-01-13,2022,1,Q1,1,January,Jan,2,2,13,Thursday,4,13,False,False,False,False,False,False,False,2021-2022,Q4
20220114,2022-01-14,2022,1,Q1,1,January,Jan,2,2,14,Friday,5,14,False,False,False,False,False,False,False,2021-2022,Q4
20220115,2022-01-15,2022,1,Q1,1,January,Jan,2,3,15,Saturday,6,15,True,False,False,False,False,False,False,2021-2022,Q4
20220116,2022-01-16,2022,1,Q1,1,January,Jan,2,3,16,Sunday,7,16,True,False,False,False,False,False,False,2021-2022,Q4
20220117,2022-01-17,2022,1,Q1,1,January,Jan,3,3,17,Monday,1,17,False,False,False,False,False,False,False,2021-2022,Q4
20220118,2022-01-18,2022,1,Q1,1,January,Jan,3,3,18,Tuesday,2,18,False,False,False,False,False,False,False,2021-2022,Q4
20220119,2022-01-19,2022,1,Q1,1,January,Jan,3,3,19,Wednesday,3,19,False,False,False,False,False,False,False,2021-2022,Q4
20220120,2022-01-20,2022,1,Q1,1,January,Jan,3,3,20,Thursday,4,20,False,False,False,False,False,False,False,2021-2022,Q4
20220121,2022-01-21,2022,1,Q1,1,January,Jan,3,3,21,Friday,5,21,False,False,False,False,False,False,False,2021-2022,Q4
20220122,2022-01-22,2022,1,Q1,1,January,Jan,3,4,22,Saturday,6,22,True,False,False,False,False,False,False,2021-2022,Q4
20220123,2022-01-23,2022,1,Q1,1,January,Jan,3,4,23,Sunday,7,23,True,False,False,False,False,False,False,2021-2022,Q4
20220124,2022-01-24,2022,1,Q1,1,January,Jan,4,4,24,Monday,1,24,False,False,False,False,False,False,False,2021-2022,Q4
20220125,2022-01-25,2022,1,Q1,1,January,Jan,4,4,25,Tuesday,2,25,False,False,False,False,False,False,False,2021-2022,Q4
20220126,2022-01-26,2022,1,Q1,1,January,Jan,4,4,26,Wednesday,3,26,False,False,False,False,False,False,False,2021-2022,Q4
20220127,2022-01-27,2022,1,Q1,1,January,Jan,4,4,27,Thursday,4,27,False,False,False,False,False,False,False,2021-2022,Q4
