underwriting_sk,policy_sk,customer_sk,vehicle_sk,underwriting_date_sk,risk_score,risk_band,fraud_probability,underwriting_decision,recommendation,manual_review_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,explanation_generated,model_version
1,1,1,1,20250520,92,Very High,0.92,Rejected,Reject,False,3,25,7,97.88,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
2,2,2,2,20250927,55,Medium,0.55,Rejected,Refer Underwriter,True,85,9,2,89.69,Manual,John,SLA Breached,True,UW_AI_v1.0
3,3,3,3,20250711,67,High,0.67,Approved,Refer Underwriter,True,27,3,2,87.76,Manual,Rahul,Within SLA,True,UW_AI_v2.0
4,4,4,4,20251026,48,Medium,0.48,Approved,Refer Underwriter,True,62,14,7,78.33,Manual,Alice,SLA Breached,True,UW_AI_v1.1
5,5,5,5,20250108,40,Medium,0.4,Rejected,Refer Underwriter,True,27,5,1,89.29,Manual,Priya,Within SLA,True,UW_AI_v1.1
6,6,6,6,20251101,65,High,0.65,Rejected,Refer Underwriter,True,68,7,3,86.12,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
7,7,7,7,20250813,22,Low,0.22,Approved,Auto Approve,False,3,-9,5,77.51,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
8,8,8,8,20250721,75,High,0.75,Rejected,Reject,False,3,17,5,91.14,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
9,9,9,9,20251011,76,High,0.76,Rejected,Reject,False,4,32,2,84.54,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
10,10,10,10,20250303,49,Medium,0.49,Approved,Refer Underwriter,True,52,7,3,86.75,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
11,11,11,11,20250503,73,High,0.73,Rejected,Reject,False,3,28,3,77.08,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
12,12,12,12,20250116,81,Very High,0.81,Rejected,Reject,False,2,26,3,83.49,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
13,13,13,13,20250612,42,Medium,0.42,Rejected,Refer Underwriter,True,23,9,2,85.9,Manual,Alice,Within SLA,True,UW_AI_v2.0
14,14,14,14,20251218,28,Low,0.28,Approved,Auto Approve,False,5,1,1,93.69,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
15,15,15,15,20250504,83,Very High,0.83,Rejected,Reject,False,4,31,7,82.81,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
16,16,16,16,20250906,62,High,0.62,Rejected,Refer Underwriter,True,21,10,3,96.21,Manual,Priya,Within SLA,True,UW_AI_v2.0
17,17,17,17,20250514,8,Low,0.08,Approved,Auto Approve,False,5,4,3,93.83,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
18,18,18,18,20251223,49,Medium,0.49,Approved,Refer Underwriter,True,61,3,7,92.85,Manual,Priya,SLA Breached,True,UW_AI_v1.1
19,19,19,19,20250309,79,High,0.79,Rejected,Reject,False,4,29,3,94.58,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
20,20,20,20,20250121,49,Medium,0.49,Rejected,Refer Underwriter,True,38,8,7,89.97,Manual,John,SLA Breached,True,UW_AI_v1.0
21,21,21,21,20250324,57,Medium,0.57,Rejected,Refer Underwriter,True,74,12,4,99.86,Manual,Alice,SLA Breached,True,UW_AI_v1.1
22,22,22,22,20250712,56,Medium,0.56,Rejected,Refer Underwriter,True,47,0,2,93.24,Manual,Alice,SLA Breached,True,UW_AI_v1.0
23,23,23,23,20250826,66,High,0.66,Approved,Refer Underwriter,True,44,9,5,87.51,Manual,David,SLA Breached,True,UW_AI_v1.0
24,24,24,24,20250615,79,High,0.79,Rejected,Reject,False,2,17,3,96.87,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
25,25,25,25,20251229,46,Medium,0.46,Rejected,Refer Underwriter,True,20,12,1,88.98,Manual,Alice,Within SLA,True,UW_AI_v2.0
26,26,26,26,20250306,59,Medium,0.59,Rejected,Refer Underwriter,True,74,12,6,80.48,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
27,27,27,27,20250210,80,Very High,0.8,Rejected,Reject,False,5,32,1,87.92,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
28,28,28,28,20250221,20,Low,0.2,Approved,Auto Approve,False,3,-4,3,88.01,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
29,29,29,29,20250120,28,Low,0.28,Approved,Auto Approve,False,3,-6,1,77.18,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
30,30,30,30,20250923,35,Medium,0.35,Approved,Refer Underwriter,True,38,3,7,93.08,Manual,Alice,SLA Breached,True,UW_AI_v1.1
31,31,31,31,20250808,43,Medium,0.43,Approved,Refer Underwriter,True,73,4,2,82.15,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
32,32,32,32,20251109,93,Very High,0.93,Rejected,Reject,False,7,26,1,75.84,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
33,33,33,33,20251219,92,Very High,0.92,Rejected,Reject,False,5,15,2,75.16,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
34,34,34,34,20251217,6,Low,0.06,Approved,Auto Approve,False,5,-3,1,84.06,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
35,35,35,35,20250313,20,Low,0.2,Approved,Auto Approve,False,4,-3,7,87.1,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
36,36,36,36,20250626,32,Medium,0.32,Approved,Auto Approve,False,5,-2,6,90.71,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
37,37,37,37,20250623,56,Medium,0.56,Approved,Refer Underwriter,True,64,14,4,95.72,Manual,Priya,SLA Breached,True,UW_AI_v1.1
38,38,38,38,20250916,74,High,0.74,Rejected,Reject,False,7,33,4,86.87,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
39,39,39,39,20250410,40,Medium,0.4,Rejected,Refer Underwriter,True,25,14,1,84.59,Manual,David,Within SLA,True,UW_AI_v2.0
40,40,40,40,20251110,32,Medium,0.32,Approved,Auto Approve,False,5,3,1,95.45,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
41,41,41,41,20250701,53,Medium,0.53,Rejected,Refer Underwriter,True,57,9,3,98.08,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
42,42,42,42,20250920,86,Very High,0.86,Rejected,Reject,False,4,30,7,98.32,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
43,43,43,43,20250313,60,High,0.6,Rejected,Refer Underwriter,True,80,8,4,75.97,Manual,David,SLA Breached,True,UW_AI_v2.0
44,44,44,44,20250716,98,Very High,0.98,Rejected,Reject,False,4,28,7,95.46,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
45,45,45,45,20250306,73,High,0.73,Rejected,Reject,False,7,30,7,76.14,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
46,46,46,46,20250417,21,Low,0.21,Approved,Auto Approve,False,6,-5,2,84.02,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
47,47,47,47,20251011,48,Medium,0.48,Approved,Refer Underwriter,True,83,11,7,97.72,Manual,Alice,SLA Breached,True,UW_AI_v1.0
48,48,48,48,20250216,11,Low,0.11,Approved,Auto Approve,False,3,-5,5,76.18,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
49,49,49,49,20250306,60,High,0.6,Rejected,Refer Underwriter,True,86,8,2,77.2,Manual,John,SLA Breached,True,UW_AI_v1.0
50,50,50,50,20250201,13,Low,0.13,Approved,Auto Approve,False,6,3,4,89.88,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
51,51,51,51,20251109,22,Low,0.22,Approved,Auto Approve,False,7,-5,2,99.44,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
52,52,52,52,20251120,69,High,0.69,Rejected,Refer Underwriter,True,75,14,7,78.98,Manual,John,SLA Breached,True,UW_AI_v1.0
53,53,53,53,20251227,21,Low,0.21,Approved,Auto Approve,False,5,-4,6,79.37,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
54,54,54,54,20250325,23,Low,0.23,Approved,Auto Approve,False,3,2,3,95.78,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
55,55,55,55,20250518,36,Medium,0.36,Approved,Refer Underwriter,True,84,5,6,92.87,Manual,David,SLA Breached,True,UW_AI_v1.1
56,56,56,56,20250331,32,Medium,0.32,Approved,Auto Approve,False,4,-8,7,99.15,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
