customer_sk,gender,customer_age,has_driving_license,previously_insured,region,age_band
1,Male,20,1,0,24.0,18-25
2,Male,20,1,0,17.0,18-25
3,Female,20,1,1,39.0,18-25
4,Female,20,1,1,22.0,18-25
5,Female,20,1,0,47.0,18-25
6,Female,20,1,0,37.0,18-25
7,Female,20,1,0,10.0,18-25
8,Female,20,1,1,20.0,18-25
9,Male,20,1,0,42.0,18-25
10,Female,20,1,0,29.0,18-25
11,Female,20,1,0,50.0,18-25
12,Male,20,1,1,15.0,18-25
13,Male,20,1,1,3.0,18-25
14,Male,20,1,0,46.0,18-25
15,Male,20,1,0,36.0,18-25
16,Female,20,1,1,15.0,18-25
17,Female,20,1,0,28.0,18-25
18,Female,20,1,1,8.0,18-25
19,Male,20,1,1,8.0,18-25
20,Male,20,1,0,49.0,18-25
21,Male,20,1,1,3.0,18-25
22,Female,20,1,0,43.0,18-25
23,Female,20,1,1,47.0,18-25
24,Male,20,1,1,46.0,18-25
25,Male,20,1,1,46.0,18-25
26,Female,20,1,0,39.0,18-25
27,Female,20,1,0,37.0,18-25
28,Female,20,1,0,8.0,18-25
29,Female,20,1,1,3.0,18-25
30,Male,20,1,0,41.0,18-25
31,Female,20,1,1,46.0,18-25
32,Male,20,1,1,46.0,18-25
33,Female,20,1,0,26.0,18-25
34,Female,20,1,0,15.0,18-25
35,Female,20,1,0,47.0,18-25
36,Female,20,1,0,23.0,18-25
37,Female,20,1,1,3.0,18-25
38,Male,20,1,0,13.0,18-25
39,Male,20,1,0,13.0,18-25
40,Male,20,1,0,47.0,18-25
41,Female,20,1,0,35.0,18-25
42,Female,20,1,0,14.0,18-25
43,Female,20,1,1,46.0,18-25
44,Female,20,1,0,37.0,18-25
45,Male,20,1,1,45.0,18-25
46,Male,20,1,0,24.0,18-25
47,Female,20,1,1,50.0,18-25
48,Male,20,1,0,28.0,18-25
49,Male,20,1,0,46.0,18-25
50,Male,20,1,0,50.0,18-25
51,Male,20,1,0,25.0,18-25
52,Male,20,1,1,39.0,18-25
53,Female,20,1,0,47.0,18-25
54,Female,20,1,1,35.0,18-25
55,Male,20,1,0,28.0,18-25
56,Male,20,1,0,30.0,18-25
57,Female,20,1,1,46.0,18-25
58,Male,20,1,0,46.0,18-25
59,Female,20,1,0,34.0,18-25
60,Female,20,1,0,36.0,18-25
61,Female,20,1,1,5.0,18-25
62,Female,20,1,1,28.0,18-25
63,Female,20,1,1,46.0,18-25
64,Male,20,1,1,28.0,18-25
65,Male,20,1,0,12.0,18-25
66,Male,20,1,0,15.0,18-25
67,Female,20,1,0,7.0,18-25
68,Male,20,1,1,28.0,18-25
69,Male,20,1,1,13.0,18-25
70,Male,20,1,0,36.0,18-25
71,Male,20,1,0,29.0,18-25
72,Male,20,1,0,39.0,18-25
73,Male,20,1,1,37.0,18-25
74,Female,20,1,1,46.0,18-25
75,Male,20,1,0,10.0,18-25
76,Male,20,1,0,37.0,18-25
77,Male,20,1,1,35.0,18-25
78,Female,20,1,1,36.0,18-25
79,Female,20,1,1,8.0,18-25
80,Male,20,1,1,2.0,18-25
81,Female,20,1,0,36.0,18-25
82,Female,20,1,0,30.0,18-25
83,Female,20,1,0,2.0,18-25
84,Female,20,1,1,42.0,18-25
85,Male,20,1,0,15.0,18-25
86,Female,20,1,0,28.0,18-25
87,Female,20,1,1,46.0,18-25
88,Male,20,1,0,28.0,18-25
89,Male,20,1,0,41.0,18-25
90,Female,20,1,0,2.0,18-25
91,Female,20,1,0,3.0,18-25
92,Female,20,1,0,46.0,18-25
93,Male,20,1,0,24.0,18-25
94,Male,20,1,0,8.0,18-25
95,Male,20,1,0,13.0,18-25
96,Male,20,1,0,37.0,18-25
97,Male,20,1,1,32.0,18-25
98,Female,20,1,1,8.0,18-25
99,Female,20,1,0,10.0,18-25
100,Male,20,1,0,28.0,18-25
101,Male,20,1,0,8.0,18-25
102,Male,20,1,0,46.0,18-25
103,Male,20,1,0,9.0,18-25
104,Male,20,1,0,30.0,18-25
105,Male,20,1,0,10.0,18-25
106,Male,20,1,0,8.0,18-25
107,Male,20,1,1,38.0,18-25
108,Female,20,1,0,36.0,18-25
109,Female,20,1,1,49.0,18-25
110,Male,20,1,1,36.0,18-25
111,Female,20,1,0,15.0,18-25
112,Female,20,1,1,11.0,18-25
113,Male,20,1,0,15.0,18-25
114,Female,20,1,1,32.0,18-25
115,Male,20,1,0,33.0,18-25
116,Female,20,1,0,10.0,18-25
117,Male,20,1,1,8.0,18-25
118,Male,20,1,0,36.0,18-25
119,Male,20,1,1,46.0,18-25
120,Female,20,1,1,46.0,18-25
121,Male,20,1,0,8.0,18-25
122,Male,20,1,0,40.0,18-25
123,Female,20,1,1,46.0,18-25
124,Female,20,1,1,45.0,18-25
125,Male,20,1,1,50.0,18-25
126,Female,20,1,0,12.0,18-25
127,Male,20,1,1,8.0,18-25
128,Male,20,1,0,36.0,18-25
129,Female,20,1,1,8.0,18-25
130,Female,20,1,0,50.0,18-25
131,Male,20,1,1,8.0,18-25
132,Male,20,1,0,44.0,18-25
133,Male,20,1,1,46.0,18-25
134,Male,20,1,1,8.0,18-25
135,Male,20,1,0,15.0,18-25
136,Male,20,1,1,9.0,18-25
137,Female,20,1,0,14.0,18-25
138,Female,20,1,0,33.0,18-25
139,Male,20,1,0,50.0,18-25
140,Male,20,1,0,13.0,18-25
141,Male,20,1,1,24.0,18-25
142,Female,20,1,0,36.0,18-25
143,Female,20,1,0,8.0,18-25
144,Female,20,1,0,41.0,18-25
145,Male,20,1,0,50.0,18-25
146,Female,20,1,1,45.0,18-25
147,Female,20,1,1,46.0,18-25
148,Male,20,1,0,21.0,18-25
149,Female,20,1,1,20.0,18-25
150,Male,20,1,0,31.0,18-25
151,Male,20,1,0,29.0,18-25
152,Male,20,1,0,9.0,18-25
153,Male,20,1,0,28.0,18-25
154,Female,20,1,1,2.0,18-25
155,Male,20,1,0,17.0,18-25
156,Female,20,1,0,47.0,18-25
157,Male,20,1,0,28.0,18-25
158,Male,20,1,0,14.0,18-25
159,Female,20,1,1,41.0,18-25
160,Male,20,1,0,15.0,18-25
161,Female,20,1,0,36.0,18-25
162,Female,20,1,0,50.0,18-25
163,Female,20,1,1,26.0,18-25
164,Male,20,1,1,6.0,18-25
165,Female,20,1,0,3.0,18-25
166,Female,20,1,0,28.0,18-25
167,Male,20,1,0,36.0,18-25
168,Female,20,1,1,36.0,18-25
169,Male,20,1,1,15.0,18-25
170,Female,20,1,0,43.0,18-25
171,Female,20,1,1,36.0,18-25
172,Female,20,1,0,8.0,18-25
173,Female,20,1,1,46.0,18-25
174,Male,20,1,0,27.0,18-25
175,Male,20,1,0,11.0,18-25
176,Male,20,1,1,27.0,18-25
177,Male,20,1,0,30.0,18-25
178,Female,20,1,1,3.0,18-25
179,Female,20,1,0,36.0,18-25
180,Female,20,1,0,15.0,18-25
181,Male,20,1,1,6.0,18-25
182,Male,20,1,0,44.0,18-25
183,Male,20,1,0,28.0,18-25
184,Male,20,1,0,9.0,18-25
185,Female,20,1,0,22.0,18-25
186,Male,20,1,1,28.0,18-25
187,Female,20,1,1,46.0,18-25
188,Male,20,1,1,9.0,18-25
189,Male,20,1,0,26.0,18-25
190,Male,20,1,0,28.0,18-25
191,Male,20,1,0,27.0,18-25
192,Male,20,1,1,21.0,18-25
193,Female,20,1,1,8.0,18-25
194,Male,20,1,1,42.0,18-25
195,Female,20,1,0,6.0,18-25
196,Male,20,1,0,42.0,18-25
197,Male,20,1,1,46.0,18-25
198,Male,20,1,0,39.0,18-25
199,Female,20,1,1,2.0,18-25
200,Male,20,1,0,36.0,18-25
201,Male,20,1,0,17.0,18-25
202,Female,20,1,0,30.0,18-25
203,Female,20,1,1,15.0,18-25
204,Male,20,1,0,45.0,18-25
205,Male,20,1,0,42.0,18-25
206,Male,20,1,0,25.0,18-25
207,Female,20,1,0,43.0,18-25
208,Male,20,1,1,36.0,18-25
209,Female,20,1,1,2.0,18-25
210,Female,20,1,0,50.0,18-25
211,Female,20,1,0,13.0,18-25
212,Male,20,1,0,26.0,18-25
213,Female,20,1,1,32.0,18-25
214,Male,20,1,0,30.0,18-25
215,Male,20,1,0,36.0,18-25
216,Female,20,1,0,50.0,18-25
217,Male,20,1,0,13.0,18-25
218,Male,20,1,0,24.0,18-25
219,Female,20,1,1,47.0,18-25
220,Male,20,1,0,3.0,18-25
221,Male,20,1,1,46.0,18-25
222,Male,20,1,0,8.0,18-25
223,Female,20,1,0,50.0,18-25
224,Female,20,1,1,22.0,18-25
225,Male,20,1,1,11.0,18-25
226,Female,20,1,0,28.0,18-25
227,Male,20,1,1,31.0,18-25
228,Male,20,1,1,3.0,18-25
229,Male,20,1,0,8.0,18-25
230,Female,20,1,0,12.0,18-25
231,Female,20,1,1,46.0,18-25
232,Male,20,1,1,32.0,18-25
233,Male,20,1,0,12.0,18-25
234,Female,20,1,0,37.0,18-25
235,Female,20,1,0,36.0,18-25
236,Female,20,1,0,15.0,18-25
237,Male,20,1,1,22.0,18-25
238,Male,20,1,1,47.0,18-25
239,Male,20,1,1,37.0,18-25
240,Female,20,1,1,15.0,18-25
241,Female,20,1,0,38.0,18-25
242,Male,20,1,0,35.0,18-25
243,Female,20,1,1,28.0,18-25
244,Male,20,1,0,36.0,18-25
245,Male,20,1,0,37.0,18-25
246,Male,20,1,1,36.0,18-25
247,Female,20,1,0,36.0,18-25
248,Female,20,1,0,5.0,18-25
249,Female,20,1,1,46.0,18-25
250,Male,20,1,1,30.0,18-25
251,Male,20,1,1,47.0,18-25
252,Female,20,1,0,46.0,18-25
253,Male,20,1,1,6.0,18-25
254,Male,20,1,1,39.0,18-25
255,Female,20,1,1,28.0,18-25
256,Female,20,1,1,36.0,18-25
257,Female,20,1,0,29.0,18-25
258,Female,20,1,0,32.0,18-25
259,Female,20,1,0,28.0,18-25
260,Male,20,1,1,6.0,18-25
261,Male,20,1,0,45.0,18-25
262,Female,20,1,0,43.0,18-25
263,Female,20,1,0,36.0,18-25
264,Male,20,1,0,30.0,18-25
