quote_sk,quote_id,customer_sk,vehicle_sk,quoted_premium,sales_channel,days_since_last_contact,accepted_offer,conversion_flag,quote_status,quote_stage,device_type,quote_source,quote_date,load_date,source_system
1,Q100000,1,1,3752.0,160.0,259,0,0,Abandoned,Document Upload,Tablet,Aggregator,2025-05-17,2026-08-01 17:22:07.213201,Vehicle Insurance
2,Q100001,2,2,4085.0,160.0,151,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-09-24,2026-08-01 17:22:07.213201,Vehicle Insurance
3,Q100002,3,3,4510.0,160.0,292,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-07-07,2026-08-01 17:22:07.213201,Vehicle Insurance
4,Q100003,4,4,3920.0,163.0,60,0,0,Abandoned,Premium Calculation,Tablet,Mobile App,2025-10-24,2026-08-01 17:22:07.213201,Vehicle Insurance
5,Q100004,5,5,3756.0,160.0,54,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-01-06,2026-08-01 17:22:07.213201,Vehicle Insurance
6,Q100005,6,6,3721.0,160.0,132,0,0,Abandoned,Premium Calculation,Tablet,Aggregator,2025-10-29,2026-08-01 17:22:07.213201,Vehicle Insurance
7,Q100006,7,7,4350.0,160.0,290,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-08-13,2026-08-01 17:22:07.213201,Vehicle Insurance
8,Q100007,8,8,3670.0,160.0,35,0,0,Abandoned,Document Upload,Mobile,Website,2025-07-21,2026-08-01 17:22:07.213201,Vehicle Insurance
9,Q100008,9,9,4264.0,160.0,137,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,2025-10-07,2026-08-01 17:22:07.213201,Vehicle Insurance
10,Q100009,10,10,3771.0,160.0,51,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,2025-03-02,2026-08-01 17:22:07.213201,Vehicle Insurance
11,Q100010,11,11,4116.0,160.0,27,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,2025-05-03,2026-08-01 17:22:07.213201,Vehicle Insurance
12,Q100011,12,12,3864.0,160.0,24,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-01-12,2026-08-01 17:22:07.213201,Vehicle Insurance
13,Q100012,13,13,3980.0,160.0,172,0,0,Abandoned,Premium Calculation,Desktop,Agent,2025-06-12,2026-08-01 17:22:07.213201,Vehicle Insurance
14,Q100013,14,14,4108.0,160.0,158,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-12-18,2026-08-01 17:22:07.213201,Vehicle Insurance
15,Q100014,15,15,3737.0,160.0,184,0,0,Abandoned,Document Upload,Mobile,Aggregator,2025-05-04,2026-08-01 17:22:07.213201,Vehicle Insurance
16,Q100015,16,16,4022.0,160.0,93,0,0,Abandoned,Document Upload,Desktop,Mobile App,2025-09-05,2026-08-01 17:22:07.213201,Vehicle Insurance
17,Q100016,17,17,3749.0,160.0,183,0,0,Abandoned,Premium Calculation,Mobile,Agent,2025-05-11,2026-08-01 17:22:07.213201,Vehicle Insurance
18,Q100017,18,18,4521.0,160.0,258,0,0,Abandoned,Premium Calculation,Mobile,Website,2025-12-19,2026-08-01 17:22:07.213201,Vehicle Insurance
19,Q100018,19,19,4313.0,160.0,221,0,0,Abandoned,Premium Calculation,Tablet,Aggregator,2025-03-07,2026-08-01 17:22:07.213201,Vehicle Insurance
20,Q100019,20,20,3780.0,160.0,147,0,0,Abandoned,Document Upload,Desktop,Agent,2025-01-21,2026-08-01 17:22:07.213201,Vehicle Insurance
21,Q100020,21,21,4311.0,160.0,206,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-03-22,2026-08-01 17:22:07.213201,Vehicle Insurance
22,Q100021,22,22,3958.0,160.0,192,0,0,Abandoned,Document Upload,Mobile,Mobile App,2025-07-11,2026-08-01 17:22:07.213201,Vehicle Insurance
23,Q100022,23,23,4419.0,160.0,58,0,0,Abandoned,Document Upload,Mobile,Website,2025-08-25,2026-08-01 17:22:07.213201,Vehicle Insurance
24,Q100023,24,24,3993.0,160.0,192,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,2025-06-13,2026-08-01 17:22:07.213201,Vehicle Insurance
25,Q100024,25,25,4141.0,160.0,69,0,0,Abandoned,Document Upload,Desktop,Agent,2025-12-29,2026-08-01 17:22:07.213201,Vehicle Insurance
