policy_id,airbags,is_esc,is_tpms,is_parking_sensors,is_parking_camera,is_brake_assist,is_power_steering,is_speed_alert,ncap_rating,safety_score
ID02475,2,0,0,1,0,1,1,1,2,44.9
ID32692,2,0,0,1,0,1,1,1,2,44.9
ID32711,2,0,0,1,0,1,1,1,2,44.9
ID28473,2,0,0,1,0,1,1,1,2,44.9
ID32744,2,0,0,1,0,0,1,1,0,27.1
ID02511,6,1,1,1,1,1,1,1,3,88.0
ID78248,6,1,1,1,1,1,1,1,3,88.0
ID78268,6,1,1,1,1,1,1,1,3,88.0
ID78263,2,0,0,1,1,0,1,1,4,56.9
ID32621,2,0,0,1,0,0,1,1,2,39.1
ID32616,6,1,1,1,1,1,1,1,3,88.0
ID78539,2,0,0,1,0,1,1,1,2,44.9
ID32590,6,1,0,1,1,1,1,1,0,64.3
ID32586,2,0,0,1,0,0,1,1,2,39.1
ID91691,2,0,0,1,0,1,1,1,2,44.9
ID28456,2,0,0,1,0,0,1,1,2,39.1
ID88554,6,1,0,1,1,1,1,1,0,64.3
ID50105,6,1,0,1,1,1,1,1,0,64.3
ID50038,2,0,0,1,0,1,1,1,2,44.9
ID18503,2,0,0,1,0,1,1,1,2,44.9
ID88616,2,0,0,1,0,1,1,1,2,44.9
ID49755,2,1,0,1,1,1,1,1,2,56.3
ID18661,6,1,1,1,1,1,1,1,3,88.0
ID88568,6,1,1,1,1,1,1,1,3,88.0
ID49766,2,0,0,1,0,1,1,1,2,44.9
ID49814,2,0,0,1,0,0,1,1,5,57.1
ID49941,6,1,1,1,1,1,1,1,3,88.0
ID49851,2,0,0,1,0,1,1,1,2,44.9
ID18621,2,0,0,1,1,0,1,1,4,56.9
ID00075,6,1,1,1,1,1,1,1,3,88.0
ID30031,2,0,0,1,0,0,1,1,0,27.1
ID78366,2,0,0,1,0,0,1,1,0,27.1
ID50396,2,0,0,1,0,1,1,1,2,44.9
ID18295,2,0,0,1,0,1,1,1,2,44.9
ID50345,2,0,0,1,0,1,1,1,2,44.9
ID50381,1,0,0,1,0,0,0,1,0,16.4
ID18340,2,0,0,1,0,1,1,1,2,44.9
ID18337,2,0,0,1,0,0,1,1,0,27.1
ID50350,6,1,1,1,1,1,1,1,3,88.0
ID49615,2,0,0,1,0,0,1,1,2,39.1
ID49631,2,0,0,1,0,1,1,1,2,44.9
ID18366,2,0,0,1,0,0,1,1,0,27.1
ID82561,2,0,0,1,0,1,1,1,2,44.9
ID00105,6,1,0,1,1,1,1,1,0,64.3
ID00087,6,1,1,1,1,1,1,1,3,88.0
ID88517,2,0,0,1,0,1,1,1,2,44.9
ID88529,2,0,0,1,0,0,1,1,0,27.1
ID88521,6,1,0,1,1,1,1,1,0,64.3
ID18852,6,1,1,1,1,1,1,1,3,88.0
ID18212,2,0,0,1,0,1,1,1,2,44.9
ID18225,6,1,1,1,1,1,1,1,3,88.0
ID88458,2,0,0,1,0,0,1,1,0,27.1
ID50559,2,0,0,1,0,1,1,1,2,44.9
ID50557,6,1,1,1,1,1,1,1,3,88.0
ID50555,2,0,0,1,0,0,1,1,2,39.1
ID18239,2,0,0,1,0,0,1,1,0,27.1
ID82507,2,0,0,1,0,1,1,1,2,44.9
ID82529,2,0,0,1,0,1,1,1,2,44.9
ID82519,2,0,0,1,1,0,1,1,4,56.9
ID30142,6,1,1,1,1,1,1,1,3,88.0
ID49529,6,1,0,1,1,1,1,1,0,64.3
ID18811,2,0,0,0,1,0,1,1,2,39.1
ID50463,6,1,1,1,1,1,1,1,3,88.0
ID18784,2,0,0,1,0,1,1,1,2,44.9
ID50929,2,0,0,1,0,1,1,1,2,44.9
ID18985,6,1,0,1,1,1,1,1,0,64.3
ID50873,6,1,1,1,1,1,1,1,3,88.0
ID50822,2,0,0,1,0,0,1,1,5,57.1
ID49238,2,0,0,1,0,0,1,1,2,39.1
ID49260,2,0,0,1,0,0,1,1,2,39.1
ID49251,6,1,0,1,1,1,1,1,0,64.3
ID50774,2,0,0,1,0,0,1,1,0,27.1
ID50772,2,0,0,1,0,0,1,1,2,39.1
ID49269,2,0,0,1,1,0,1,1,4,56.9
ID18916,6,1,0,1,1,1,1,1,0,64.3
ID18123,2,1,0,1,1,1,1,1,2,56.3
ID88435,2,0,0,1,0,0,1,1,2,39.1
ID18115,2,0,0,1,0,0,1,1,0,27.1
ID50627,2,0,0,1,0,0,1,1,0,27.1
ID50585,2,0,0,1,0,1,1,1,2,44.9
ID51075,2,0,0,1,0,0,1,1,0,27.1
ID17905,2,0,0,1,0,1,1,1,2,44.9
ID49070,2,0,0,1,1,0,1,1,4,56.9
ID49094,2,0,0,1,0,0,1,1,0,27.1
ID19050,6,1,0,1,1,1,1,1,0,64.3
ID51056,2,0,0,0,1,0,1,1,2,39.1
ID19020,2,0,0,1,0,0,1,1,0,27.1
ID51044,2,0,0,1,0,1,1,1,2,44.9
ID82451,6,1,1,1,1,1,1,1,3,88.0
ID82703,2,0,0,1,1,0,1,1,4,56.9
ID82472,2,0,0,1,0,0,1,1,0,27.1
ID50993,2,0,0,0,1,0,1,1,2,39.1
ID17967,2,0,0,1,0,1,1,1,2,44.9
ID88383,2,0,0,1,0,0,1,1,2,39.1
ID51023,1,0,0,1,0,0,0,1,0,16.4
ID50940,2,0,0,1,0,0,1,1,0,27.1
ID19149,2,0,0,1,1,0,1,1,4,56.9
ID51401,6,1,1,1,1,1,1,1,3,88.0
ID51423,2,0,0,1,0,0,1,1,2,39.1
ID51359,6,1,1,1,1,1,1,1,3,88.0
ID51308,1,0,0,1,0,0,0,1,0,16.4
ID88319,2,0,0,1,0,0,1,1,2,39.1
ID88329,1,0,0,1,0,0,0,1,0,16.4
ID88750,2,0,0,0,1,0,1,1,2,39.1
ID51225,2,0,0,1,0,1,1,1,2,44.9
ID51179,2,0,0,1,0,1,1,1,2,44.9
ID17872,6,1,1,1,1,1,1,1,3,88.0
ID17853,6,1,1,1,1,1,1,1,3,88.0
ID82410,2,0,0,1,0,1,1,1,2,44.9
ID00170,2,0,0,1,0,0,1,1,0,27.1
ID49055,6,1,1,1,1,1,1,1,3,88.0
ID17895,2,0,0,1,1,0,1,1,4,56.9
ID19209,2,0,0,1,1,0,1,1,4,56.9
ID17700,6,1,1,1,1,1,1,1,3,88.0
ID17697,2,0,0,1,0,1,1,1,2,44.9
ID51567,2,0,0,1,0,0,1,1,2,39.1
ID51555,2,0,0,1,1,0,1,1,4,56.9
ID17723,6,1,1,1,1,1,1,1,3,88.0
ID48888,2,0,0,1,1,0,1,1,4,56.9
ID94102,2,0,0,0,1,0,1,1,2,39.1
ID51441,2,0,0,1,0,0,1,1,2,39.1
ID51464,2,0,0,1,0,1,1,1,2,44.9
ID48934,2,0,0,1,0,0,1,1,5,57.1
ID82386,6,1,1,1,1,1,1,1,3,88.0
ID30201,1,0,0,1,0,0,0,1,0,16.4
ID88303,2,0,0,1,1,0,1,1,4,56.9
ID17745,2,0,0,1,0,0,1,1,0,27.1
ID88757,6,1,1,1,1,1,1,1,3,88.0
ID88796,2,0,0,1,0,0,1,1,0,27.1
ID17597,2,0,0,1,0,0,1,1,5,57.1
ID48788,1,0,0,1,0,0,0,1,0,16.4
ID48817,6,1,1,1,1,1,1,1,3,88.0
ID48836,2,0,0,0,1,0,1,1,2,39.1
ID19225,2,1,0,1,1,1,1,0,5,68.6
