date_sk,date,year,quarter,month,month_name,financial_year,quote_volume,policies_issued,conversion_rate,premium_collected,claims_paid,claim_amount,claim_ratio,ai_usage,manual_underwriting_pct,customer_satisfaction,average_journey_time
20250101,2025-01-01,2025,1,1,January,2024-2025,282.0,25.0,8.865248226950355,1367828.0,0.0,0.0,0.0,179.0,52.23880597014925,3.201117318435754,528.8794326241135
20250102,2025-01-02,2025,1,1,January,2024-2025,268.0,23.0,8.582089552238806,1296054.0,0.0,0.0,0.0,395.0,40.98360655737705,3.230379746835443,543.4589552238806
20250103,2025-01-03,2025,1,1,January,2024-2025,256.0,21.0,8.203125,1241639.0,0.0,0.0,0.0,488.0,25.925925925925924,3.3237704918032787,544.3984375
20250104,2025-01-04,2025,1,1,January,2024-2025,276.0,28.0,10.144927536231885,1334404.0,0.0,0.0,0.0,536.0,38.88888888888889,3.3097014925373136,540.8731884057971
20250105,2025-01-05,2025,1,1,January,2024-2025,285.0,17.0,5.964912280701754,1394375.0,0.0,0.0,0.0,523.0,36.92307692307693,3.332695984703633,526.2350877192982
20250106,2025-01-06,2025,1,1,January,2024-2025,263.0,27.0,10.26615969581749,1268286.0,0.0,0.0,0.0,584.0,36.462093862815884,3.4246575342465753,570.1977186311788
20250107,2025-01-07,2025,1,1,January,2024-2025,242.0,29.0,11.983471074380166,1166203.0,0.0,0.0,0.0,535.0,35.27131782945737,3.3345794392523365,545.8429752066115
20250108,2025-01-08,2025,1,1,January,2024-2025,277.0,27.0,9.747292418772563,1340156.0,0.0,0.0,0.0,549.0,35.31598513011153,3.398907103825137,543.9927797833935
20250109,2025-01-09,2025,1,1,January,2024-2025,256.0,30.0,11.71875,1234884.0,0.0,0.0,0.0,529.0,37.5,3.275992438563327,556.16796875
20250110,2025-01-10,2025,1,1,January,2024-2025,276.0,21.0,7.608695652173914,1329285.0,0.0,0.0,0.0,511.0,37.5,3.305283757338552,528.2210144927536
20250111,2025-01-11,2025,1,1,January,2024-2025,279.0,25.0,8.960573476702509,1344416.0,0.0,0.0,0.0,560.0,41.63265306122449,3.282142857142857,531.8817204301075
20250112,2025-01-12,2025,1,1,January,2024-2025,263.0,24.0,9.125475285171103,1274368.0,0.0,0.0,0.0,528.0,39.00709219858156,3.3333333333333335,527.9049429657795
20250113,2025-01-13,2025,1,1,January,2024-2025,272.0,24.0,8.823529411764707,1313736.0,0.0,0.0,0.0,549.0,33.59375,3.278688524590164,549.1948529411765
20250114,2025-01-14,2025,1,1,January,2024-2025,298.0,31.0,10.40268456375839,1438144.0,0.0,0.0,0.0,576.0,38.225255972696246,3.2604166666666665,546.2181208053692
20250115,2025-01-15,2025,1,1,January,2024-2025,263.0,16.0,6.083650190114068,1274594.0,0.0,0.0,0.0,503.0,33.20754716981132,3.246520874751491,533.7984790874525
20250116,2025-01-16,2025,1,1,January,2024-2025,272.0,22.0,8.088235294117647,1314730.0,0.0,0.0,0.0,584.0,39.57597173144876,3.335616438356164,528.0404411764706
20250117,2025-01-17,2025,1,1,January,2024-2025,272.0,29.0,10.661764705882353,1318635.0,0.0,0.0,0.0,533.0,35.78947368421053,3.3677298311444654,571.1102941176471
20250118,2025-01-18,2025,1,1,January,2024-2025,268.0,28.0,10.44776119402985,1297526.0,0.0,0.0,0.0,535.0,31.944444444444443,3.398130841121495,529.8507462686567
20250119,2025-01-19,2025,1,1,January,2024-2025,277.0,30.0,10.830324909747292,1340135.0,0.0,0.0,0.0,548.0,38.74538745387454,3.240875912408759,552.9819494584838
20250120,2025-01-20,2025,1,1,January,2024-2025,236.0,27.0,11.440677966101696,1159722.0,0.0,0.0,0.0,542.0,37.295081967213115,3.440959409594096,582.1144067796611
20250121,2025-01-21,2025,1,1,January,2024-2025,278.0,24.0,8.633093525179856,1345018.0,0.0,0.0,0.0,531.0,36.07843137254902,3.4048964218455744,558.3992805755396
20250122,2025-01-22,2025,1,1,January,2024-2025,262.0,18.0,6.870229007633588,1281626.0,0.0,0.0,0.0,520.0,33.83458646616541,3.296153846153846,546.2595419847328
20250123,2025-01-23,2025,1,1,January,2024-2025,245.0,22.0,8.979591836734693,1175084.0,0.0,0.0,0.0,508.0,37.121212121212125,3.411417322834646,551.2285714285714
20250124,2025-01-24,2025,1,1,January,2024-2025,285.0,21.0,7.368421052631578,1369199.0,0.0,0.0,0.0,518.0,35.26970954356847,3.38996138996139,540.6421052631579
20250125,2025-01-25,2025,1,1,January,2024-2025,285.0,18.0,6.315789473684211,1381791.0,0.0,0.0,0.0,519.0,35.6401384083045,3.2697495183044314,537.6350877192982
20250126,2025-01-26,2025,1,1,January,2024-2025,245.0,22.0,8.979591836734693,1194624.0,0.0,0.0,0.0,549.0,38.28996282527881,3.2695810564663024,536.3428571428572
