underwriting_sk,policy_sk,customer_sk,vehicle_sk,policy_type,coverage_type,policy_status,make,model,segment,fuel_type,vehicle_age_band,risk_score,risk_band,fraud_probability,underwriting_decision,manual_review_flag,auto_approved_flag,rejected_flag,stp_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,sla_breached_flag,high_risk_flag,fraud_flag,recommendation,model_version,underwriting_date_sk
1,1,1,1,Comprehensive,Gold,Active,1,M1,A,CNG,New,60,High,0.6,Manual Review,1,0,0,0,52,2,5,83.06,Manual,David,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v2.0,20250131
2,2,2,2,Comprehensive,Basic,Expired,1,M1,A,CNG,New,32,Medium,0.32,Approved,0,1,0,1,7,-6,6,82.54,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20251230
3,3,3,3,Comprehensive,Gold,Active,1,M1,A,CNG,New,27,Low,0.27,Approved,0,1,0,1,7,-5,2,83.03,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20240510
4,4,4,4,Comprehensive,Basic,Active,1,M2,C1,Petrol,New,35,Medium,0.35,Manual Review,1,0,0,0,72,7,7,95.99,Manual,Alice,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20250718
5,5,5,5,Third Party,Basic,Active,2,M3,A,Petrol,New,70,High,0.7,Rejected,0,0,1,1,19,25,1,85.81,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250204
6,6,6,6,Third Party,Gold,Active,3,M4,C2,Diesel,New,65,High,0.65,Manual Review,1,0,0,0,28,1,1,84.36,Manual,David,Within SLA,0,1,0,Refer Underwriter,UW_AI_v1.0,20241231
7,7,7,7,Third Party,Gold,Active,4,M5,B2,Diesel,New,86,Very High,0.86,Rejected,0,0,1,1,16,33,3,93.02,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v1.1,20241110
8,8,8,8,Comprehensive,Silver,Active,1,M6,B2,Petrol,New,20,Low,0.2,Approved,0,1,0,1,6,-4,6,84.88,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v1.1,20220502
9,9,9,9,Comprehensive,Basic,Active,3,M4,C2,Diesel,New,63,High,0.63,Manual Review,1,0,0,0,54,6,1,95.0,Manual,Rahul,SLA Breached,1,1,0,Refer Underwriter,UW_AI_v1.0,20230412
10,10,10,10,Comprehensive,Basic,Active,1,M7,B2,Petrol,New,85,Very High,0.85,Rejected,0,0,1,1,19,32,6,93.52,Straight Through Processing,AI Engine,Within SLA,0,1,1,Reject,UW_AI_v2.0,20250523
11,11,11,11,Third Party,Silver,Active,1,M1,A,CNG,New,52,Medium,0.52,Manual Review,1,0,0,0,37,4,3,87.33,Manual,Priya,SLA Breached,1,0,0,Refer Underwriter,UW_AI_v1.0,20221127
12,12,12,12,Comprehensive,Basic,Active,1,M8,B1,CNG,New,21,Low,0.21,Approved,0,1,0,1,4,-5,4,99.0,Straight Through Processing,AI Engine,Within SLA,0,0,0,Auto Approve,UW_AI_v2.0,20220329
