channel_sk,channel_id,channel_name,channel_type,ownership,priority,is_digital
1,1.0,Channel_1.0,Offline,Indirect,,False
2,2.0,Channel_2.0,Offline,Indirect,,False
3,3.0,Channel_3.0,Offline,Indirect,,False
4,4.0,Channel_4.0,Offline,Indirect,,False
5,6.0,Channel_6.0,Offline,Indirect,,False
6,7.0,Channel_7.0,Offline,Indirect,,False
7,8.0,Channel_8.0,Offline,Indirect,,False
8,9.0,Channel_9.0,Offline,Indirect,,False
9,10.0,Channel_10.0,Offline,Indirect,,False
10,11.0,Channel_11.0,Offline,Indirect,,False
11,12.0,Channel_12.0,Offline,Indirect,,False
12,13.0,Channel_13.0,Offline,Indirect,,False
13,14.0,Channel_14.0,Offline,Indirect,,False
14,15.0,Channel_15.0,Offline,Indirect,,False
15,16.0,Channel_16.0,Offline,Indirect,,False
16,17.0,Channel_17.0,Offline,Indirect,,False
17,18.0,Channel_18.0,Offline,Indirect,,False
18,19.0,Channel_19.0,Offline,Indirect,,False
19,20.0,Channel_20.0,Offline,Indirect,,False
20,21.0,Channel_21.0,Offline,Indirect,,False
21,22.0,Channel_22.0,Offline,Indirect,,False
22,23.0,Channel_23.0,Offline,Indirect,,False
23,24.0,Channel_24.0,Offline,Indirect,,False
24,25.0,Channel_25.0,Offline,Indirect,,False
25,26.0,Channel_26.0,Offline,Indirect,,False
26,27.0,Channel_27.0,Offline,Indirect,,False
27,28.0,Channel_28.0,Offline,Indirect,,False
28,29.0,Channel_29.0,Offline,Indirect,,False
29,30.0,Channel_30.0,Offline,Indirect,,False
30,31.0,Channel_31.0,Offline,Indirect,,False
31,32.0,Channel_32.0,Offline,Indirect,,False
32,33.0,Channel_33.0,Offline,Indirect,,False
33,34.0,Channel_34.0,Offline,Indirect,,False
34,35.0,Channel_35.0,Offline,Indirect,,False
35,36.0,Channel_36.0,Offline,Indirect,,False
36,37.0,Channel_37.0,Offline,Indirect,,False
37,38.0,Channel_38.0,Offline,Indirect,,False
38,39.0,Channel_39.0,Offline,Indirect,,False
39,40.0,Channel_40.0,Offline,Indirect,,False
40,41.0,Channel_41.0,Offline,Indirect,,False
41,42.0,Channel_42.0,Offline,Indirect,,False
42,43.0,Channel_43.0,Offline,Indirect,,False
43,44.0,Channel_44.0,Offline,Indirect,,False
44,45.0,Channel_45.0,Offline,Indirect,,False
45,46.0,Channel_46.0,Offline,Indirect,,False
46,47.0,Channel_47.0,Offline,Indirect,,False
47,48.0,Channel_48.0,Offline,Indirect,,False
48,49.0,Channel_49.0,Offline,Indirect,,False
49,50.0,Channel_50.0,Offline,Indirect,,False
50,51.0,Channel_51.0,Offline,Indirect,,False
51,52.0,Channel_52.0,Offline,Indirect,,False
52,53.0,Channel_53.0,Offline,Indirect,,False
53,54.0,Channel_54.0,Offline,Indirect,,False
54,55.0,Channel_55.0,Offline,Indirect,,False
55,56.0,Channel_56.0,Offline,Indirect,,False
56,57.0,Channel_57.0,Offline,Indirect,,False
57,58.0,Channel_58.0,Offline,Indirect,,False
58,59.0,Channel_59.0,Offline,Indirect,,False
59,60.0,Channel_60.0,Offline,Indirect,,False
60,61.0,Channel_61.0,Offline,Indirect,,False
61,62.0,Channel_62.0,Offline,Indirect,,False
62,63.0,Channel_63.0,Offline,Indirect,,False
63,64.0,Channel_64.0,Offline,Indirect,,False
64,65.0,Channel_65.0,Offline,Indirect,,False
65,66.0,Channel_66.0,Offline,Indirect,,False
66,67.0,Channel_67.0,Offline,Indirect,,False
67,68.0,Channel_68.0,Offline,Indirect,,False
68,69.0,Channel_69.0,Offline,Indirect,,False
69,70.0,Channel_70.0,Offline,Indirect,,False
70,71.0,Channel_71.0,Offline,Indirect,,False
71,73.0,Channel_73.0,Offline,Indirect,,False
72,74.0,Channel_74.0,Offline,Indirect,,False
73,75.0,Channel_75.0,Offline,Indirect,,False
74,76.0,Channel_76.0,Offline,Indirect,,False
75,78.0,Channel_78.0,Offline,Indirect,,False
76,79.0,Channel_79.0,Offline,Indirect,,False
77,80.0,Channel_80.0,Offline,Indirect,,False
78,81.0,Channel_81.0,Offline,Indirect,,False
79,82.0,Channel_82.0,Offline,Indirect,,False
80,83.0,Channel_83.0,Offline,Indirect,,False
81,84.0,Channel_84.0,Offline,Indirect,,False
82,86.0,Channel_86.0,Offline,Indirect,,False
83,87.0,Channel_87.0,Offline,Indirect,,False
84,88.0,Channel_88.0,Offline,Indirect,,False
85,89.0,Channel_89.0,Offline,Indirect,,False
86,90.0,Channel_90.0,Offline,Indirect,,False
87,91.0,Channel_91.0,Offline,Indirect,,False
88,92.0,Channel_92.0,Offline,Indirect,,False
89,93.0,Channel_93.0,Offline,Indirect,,False
90,94.0,Channel_94.0,Offline,Indirect,,False
91,95.0,Channel_95.0,Offline,Indirect,,False
92,96.0,Channel_96.0,Offline,Indirect,,False
93,97.0,Channel_97.0,Offline,Indirect,,False
94,98.0,Channel_98.0,Offline,Indirect,,False
95,99.0,Channel_99.0,Offline,Indirect,,False
96,100.0,Channel_100.0,Offline,Indirect,,False
97,101.0,Channel_101.0,Offline,Indirect,,False
98,102.0,Channel_102.0,Offline,Indirect,,False
99,103.0,Channel_103.0,Offline,Indirect,,False
100,104.0,Channel_104.0,Offline,Indirect,,False
101,105.0,Channel_105.0,Offline,Indirect,,False
102,106.0,Channel_106.0,Offline,Indirect,,False
103,107.0,Channel_107.0,Offline,Indirect,,False
104,108.0,Channel_108.0,Offline,Indirect,,False
105,109.0,Channel_109.0,Offline,Indirect,,False
106,110.0,Channel_110.0,Offline,Indirect,,False
107,111.0,Channel_111.0,Offline,Indirect,,False
108,112.0,Channel_112.0,Offline,Indirect,,False
109,113.0,Channel_113.0,Offline,Indirect,,False
110,114.0,Channel_114.0,Offline,Indirect,,False
111,115.0,Channel_115.0,Offline,Indirect,,False
112,116.0,Channel_116.0,Offline,Indirect,,False
113,117.0,Channel_117.0,Offline,Indirect,,False
114,118.0,Channel_118.0,Offline,Indirect,,False
115,119.0,Channel_119.0,Offline,Indirect,,False
116,120.0,Channel_120.0,Offline,Indirect,,False
117,121.0,Channel_121.0,Offline,Indirect,,False
118,122.0,Channel_122.0,Offline,Indirect,,False
119,123.0,Channel_123.0,Offline,Indirect,,False
120,124.0,Channel_124.0,Offline,Indirect,,False
121,125.0,Channel_125.0,Offline,Indirect,,False
122,126.0,Channel_126.0,Offline,Indirect,,False
123,127.0,Channel_127.0,Offline,Indirect,,False
124,128.0,Channel_128.0,Offline,Indirect,,False
125,129.0,Channel_129.0,Offline,Indirect,,False
126,130.0,Channel_130.0,Offline,Indirect,,False
127,131.0,Channel_131.0,Offline,Indirect,,False
128,132.0,Channel_132.0,Offline,Indirect,,False
129,133.0,Channel_133.0,Offline,Indirect,,False
130,134.0,Channel_134.0,Offline,Indirect,,False
131,135.0,Channel_135.0,Offline,Indirect,,False
132,136.0,Channel_136.0,Offline,Indirect,,False
133,137.0,Channel_137.0,Offline,Indirect,,False
134,138.0,Channel_138.0,Offline,Indirect,,False
135,139.0,Channel_139.0,Offline,Indirect,,False
136,140.0,Channel_140.0,Offline,Indirect,,False
137,143.0,Channel_143.0,Offline,Indirect,,False
138,144.0,Channel_144.0,Offline,Indirect,,False
139,145.0,Channel_145.0,Offline,Indirect,,False
140,146.0,Channel_146.0,Offline,Indirect,,False
141,147.0,Channel_147.0,Offline,Indirect,,False
142,148.0,Channel_148.0,Offline,Indirect,,False
143,149.0,Channel_149.0,Offline,Indirect,,False
144,150.0,Channel_150.0,Offline,Indirect,,False
145,151.0,Channel_151.0,Offline,Indirect,,False
146,152.0,Channel_152.0,Offline,Indirect,,False
147,153.0,Channel_153.0,Offline,Indirect,,False
148,154.0,Channel_154.0,Offline,Indirect,,False
149,155.0,Channel_155.0,Offline,Indirect,,False
150,156.0,Channel_156.0,Offline,Indirect,,False
151,157.0,Channel_157.0,Offline,Indirect,,False
152,158.0,Channel_158.0,Offline,Indirect,,False
153,159.0,Channel_159.0,Offline,Indirect,,False
154,160.0,Channel_160.0,Offline,Indirect,,False
