customer_sk,customer_id,gender,customer_age,age_band,has_driving_license,driving_license_status,previously_insured,insurance_history,customer_segment,region,risk_profile
1,CUST000001,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,24.0,High
2,CUST000002,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,17.0,High
3,CUST000003,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,39.0,High
4,CUST000004,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,22.0,High
5,CUST000005,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,47.0,High
6,CUST000006,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,37.0,High
7,CUST000007,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,10.0,High
8,CUST000008,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,20.0,High
9,CUST000009,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,42.0,High
10,CUST000010,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,29.0,High
11,CUST000011,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,50.0,High
12,CUST000012,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,15.0,High
13,CUST000013,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,3.0,High
14,CUST000014,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,46.0,High
15,CUST000015,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,36.0,High
16,CUST000016,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,15.0,High
17,CUST000017,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,28.0,High
18,CUST000018,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
19,CUST000019,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,8.0,High
20,CUST000020,Male,20,18-25,1,Licensed,0,First Time Buyer,New Customer,49.0,High
21,CUST000021,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,3.0,High
22,CUST000022,Female,20,18-25,1,Licensed,0,First Time Buyer,New Customer,43.0,High
23,CUST000023,Female,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,47.0,High
24,CUST000024,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
25,CUST000025,Male,20,18-25,1,Licensed,1,Previously Insured,Existing Customer,46.0,High
