date_sk,date,day,month,month_name,quarter,year,week_of_year,day_of_week,day_name,is_weekend,financial_year
20220101,2022-01-01,1,1,January,Q1,2022,52,6,Saturday,True,FY2021-22
20220102,2022-01-02,2,1,January,Q1,2022,52,7,Sunday,True,FY2021-22
20220103,2022-01-03,3,1,January,Q1,2022,1,1,Monday,False,FY2021-22
20220104,2022-01-04,4,1,January,Q1,2022,1,2,Tuesday,False,FY2021-22
20220105,2022-01-05,5,1,January,Q1,2022,1,3,Wednesday,False,FY2021-22
20220106,2022-01-06,6,1,January,Q1,2022,1,4,Thursday,False,FY2021-22
20220107,2022-01-07,7,1,January,Q1,2022,1,5,Friday,False,FY2021-22
20220108,2022-01-08,8,1,January,Q1,2022,1,6,Saturday,True,FY2021-22
20220109,2022-01-09,9,1,January,Q1,2022,1,7,Sunday,True,FY2021-22
20220110,2022-01-10,10,1,January,Q1,2022,2,1,Monday,False,FY2021-22
20220111,2022-01-11,11,1,January,Q1,2022,2,2,Tuesday,False,FY2021-22
20220112,2022-01-12,12,1,January,Q1,2022,2,3,Wednesday,False,FY2021-22
20220113,2022-01-13,13,1,January,Q1,2022,2,4,Thursday,False,FY2021-22
20220114,2022-01-14,14,1,January,Q1,2022,2,5,Friday,False,FY2021-22
20220115,2022-01-15,15,1,January,Q1,2022,2,6,Saturday,True,FY2021-22
20220116,2022-01-16,16,1,January,Q1,2022,2,7,Sunday,True,FY2021-22
20220117,2022-01-17,17,1,January,Q1,2022,3,1,Monday,False,FY2021-22
20220118,2022-01-18,18,1,January,Q1,2022,3,2,Tuesday,False,FY2021-22
20220119,2022-01-19,19,1,January,Q1,2022,3,3,Wednesday,False,FY2021-22
20220120,2022-01-20,20,1,January,Q1,2022,3,4,Thursday,False,FY2021-22
20220121,2022-01-21,21,1,January,Q1,2022,3,5,Friday,False,FY2021-22
20220122,2022-01-22,22,1,January,Q1,2022,3,6,Saturday,True,FY2021-22
20220123,2022-01-23,23,1,January,Q1,2022,3,7,Sunday,True,FY2021-22
20220124,2022-01-24,24,1,January,Q1,2022,4,1,Monday,False,FY2021-22
