policy_sk,policy_id,policy_type,coverage_type,policy_status,active_flag,policy_tenure,policy_tenure_band,source_system,load_date
1,ID02475,Comprehensive,Silver,Active,True,0.081687535315239,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
2,ID32692,Comprehensive,Gold,Expired,False,0.087227822634306,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
3,ID32711,Comprehensive,Silver,Active,True,0.693650963098713,6-12 Months,Insurance Claims,2026-08-01 17:22:07.750552
4,ID28473,Comprehensive,Gold,Active,True,0.552959770261408,6-12 Months,Insurance Claims,2026-08-01 17:22:07.750552
5,ID32744,Comprehensive,Silver,Active,True,0.365637484817446,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
6,ID02511,Third Party,Silver,Active,True,0.009434865845494,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
7,ID78248,Comprehensive,Silver,Active,True,0.085881086159701,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
8,ID78268,Third Party,Silver,Active,True,1.02399816639874,> 12 Months,Insurance Claims,2026-08-01 17:22:07.750552
9,ID78263,Comprehensive,Basic,Active,True,0.135833736218034,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
10,ID32621,Comprehensive,Basic,Active,True,0.836755708185355,6-12 Months,Insurance Claims,2026-08-01 17:22:07.750552
11,ID32616,Comprehensive,Silver,Active,True,0.090609726338057,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
12,ID78539,Third Party,Basic,Active,True,0.006403091307343,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
13,ID32590,Third Party,Gold,Active,True,0.886363812281195,6-12 Months,Insurance Claims,2026-08-01 17:22:07.750552
14,ID32586,Third Party,Gold,Active,True,1.18244171155297,> 12 Months,Insurance Claims,2026-08-01 17:22:07.750552
15,ID91691,Comprehensive,Basic,Active,True,0.369377704003303,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
16,ID28456,Comprehensive,Gold,Active,True,0.120095371517547,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
17,ID88554,Comprehensive,Gold,Active,True,0.470215993018836,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
18,ID50105,Comprehensive,Silver,Active,True,0.725028102993747,6-12 Months,Insurance Claims,2026-08-01 17:22:07.750552
19,ID50038,Comprehensive,Gold,Active,True,1.08695620152797,> 12 Months,Insurance Claims,2026-08-01 17:22:07.750552
20,ID18503,Comprehensive,Silver,Active,True,0.111648676427547,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
21,ID88616,Comprehensive,Silver,Active,True,0.086216208642533,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
22,ID49755,Comprehensive,Gold,Active,True,0.363848813307494,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
23,ID18661,Third Party,Basic,Active,True,0.298642299568791,< 6 Months,Insurance Claims,2026-08-01 17:22:07.750552
