claim_sk,claim_id,policy_sk,date_sk,claim_amount,claim_amount_band,claim_flag,claim_approved,claim_severity,fraud_risk,settlement_days,settlement_band
1,CLM100000,1,20240510,0,,0.0,0.0,Low,Low,0,Fast
2,CLM100001,2,20241231,0,,0.0,0.0,Low,Low,0,Fast
3,CLM100002,3,20241110,0,,0.0,0.0,Low,Low,0,Fast
4,CLM100003,4,20220502,0,,0.0,0.0,Low,Low,0,Fast
5,CLM100004,5,20230412,0,,0.0,0.0,Low,Low,0,Fast
6,CLM100005,6,20221127,0,,0.0,0.0,Low,Low,0,Fast
7,CLM100006,7,20220329,0,,0.0,0.0,Low,Low,0,Fast
8,CLM100007,8,20240521,0,,0.0,0.0,Low,Low,0,Fast
9,CLM100008,9,20220511,0,,0.0,0.0,Low,Low,0,Fast
10,CLM100009,10,20240209,0,,0.0,0.0,Low,Low,0,Fast
11,CLM100010,11,20221210,0,,0.0,0.0,Low,Low,0,Fast
12,CLM100011,12,20240316,0,,0.0,0.0,Low,Low,0,Fast
13,CLM100012,13,20230121,72221,High,1.0,1.0,High,Low,19,Delayed
14,CLM100013,14,20240813,0,,0.0,0.0,Low,Low,0,Fast
15,CLM100014,15,20221004,0,,0.0,0.0,Low,Low,0,Fast
16,CLM100015,16,20230405,0,,0.0,0.0,Low,Low,0,Fast
17,CLM100016,17,20220122,0,,0.0,0.0,Low,Low,0,Fast
18,CLM100017,18,20220910,0,,0.0,0.0,Low,Low,0,Fast
19,CLM100018,19,20240118,0,,0.0,0.0,Low,Low,0,Fast
20,CLM100019,20,20240506,90305,High,1.0,1.0,High,Low,29,Delayed
21,CLM100020,21,20230420,0,,0.0,0.0,Low,Low,0,Fast
22,CLM100021,22,20241218,89478,High,1.0,1.0,High,Low,21,Delayed
23,CLM100022,23,20230526,0,,0.0,0.0,Low,Low,0,Fast
24,CLM100023,24,20231201,135523,Very High,1.0,1.0,High,High,28,Delayed
25,CLM100024,25,20240902,7747,Low,1.0,1.0,Low,Low,16,Delayed
26,CLM100025,26,20220709,0,,0.0,0.0,Low,Low,0,Fast
27,CLM100026,27,20240815,0,,0.0,0.0,Low,Low,0,Fast
28,CLM100027,28,20231118,0,,0.0,0.0,Low,Low,0,Fast
29,CLM100028,29,20240815,0,,0.0,0.0,Low,Low,0,Fast
30,CLM100029,30,20230717,124346,Very High,1.0,1.0,High,High,14,Delayed
31,CLM100030,31,20240411,0,,0.0,0.0,Low,Low,0,Fast
32,CLM100031,32,20231009,0,,0.0,0.0,Low,Low,0,Fast
33,CLM100032,33,20220121,0,,0.0,0.0,Low,Low,0,Fast
34,CLM100033,34,20240420,0,,0.0,0.0,Low,Low,0,Fast
35,CLM100034,35,20220616,0,,0.0,0.0,Low,Low,0,Fast
36,CLM100035,36,20230123,0,,0.0,0.0,Low,Low,0,Fast
37,CLM100036,37,20230824,0,,0.0,0.0,Low,Low,0,Fast
38,CLM100037,38,20221112,0,,0.0,0.0,Low,Low,0,Fast
39,CLM100038,39,20220114,0,,0.0,0.0,Low,Low,0,Fast
40,CLM100039,40,20220830,0,,0.0,0.0,Low,Low,0,Fast
41,CLM100040,41,20240216,0,,0.0,0.0,Low,Low,0,Fast
42,CLM100041,42,20230719,0,,0.0,0.0,Low,Low,0,Fast
43,CLM100042,43,20240616,0,,0.0,0.0,Low,Low,0,Fast
44,CLM100043,44,20220402,0,,0.0,0.0,Low,Low,0,Fast
45,CLM100044,45,20240813,0,,0.0,0.0,Low,Low,0,Fast
46,CLM100045,46,20230524,0,,0.0,0.0,Low,Low,0,Fast
47,CLM100046,47,20240215,0,,0.0,0.0,Low,Low,0,Fast
48,CLM100047,48,20220204,0,,0.0,0.0,Low,Low,0,Fast
49,CLM100048,49,20220725,0,,0.0,0.0,Low,Low,0,Fast
50,CLM100049,50,20241022,0,,0.0,0.0,Low,Low,0,Fast
51,CLM100050,51,20241018,0,,0.0,0.0,Low,Low,0,Fast
52,CLM100051,52,20230720,0,,0.0,0.0,Low,Low,0,Fast
53,CLM100052,53,20231204,0,,0.0,0.0,Low,Low,0,Fast
54,CLM100053,54,20230206,0,,0.0,0.0,Low,Low,0,Fast
55,CLM100054,55,20231231,0,,0.0,0.0,Low,Low,0,Fast
56,CLM100055,56,20220611,0,,0.0,0.0,Low,Low,0,Fast
57,CLM100056,57,20220721,0,,0.0,0.0,Low,Low,0,Fast
58,CLM100057,58,20240922,0,,0.0,0.0,Low,Low,0,Fast
59,CLM100058,59,20220927,0,,0.0,0.0,Low,Low,0,Fast
60,CLM100059,60,20240326,0,,0.0,0.0,Low,Low,0,Fast
61,CLM100060,61,20230401,0,,0.0,0.0,Low,Low,0,Fast
62,CLM100061,62,20241013,0,,0.0,0.0,Low,Low,0,Fast
63,CLM100062,63,20221023,0,,0.0,0.0,Low,Low,0,Fast
64,CLM100063,64,20231221,0,,0.0,0.0,Low,Low,0,Fast
65,CLM100064,65,20221204,0,,0.0,0.0,Low,Low,0,Fast
66,CLM100065,66,20240528,0,,0.0,0.0,Low,Low,0,Fast
67,CLM100066,67,20241212,0,,0.0,0.0,Low,Low,0,Fast
68,CLM100067,68,20240302,0,,0.0,0.0,Low,Low,0,Fast
69,CLM100068,69,20220805,0,,0.0,0.0,Low,Low,0,Fast
70,CLM100069,70,20240203,0,,0.0,0.0,Low,Low,0,Fast
71,CLM100070,71,20220707,0,,0.0,0.0,Low,Low,0,Fast
72,CLM100071,72,20230115,0,,0.0,0.0,Low,Low,0,Fast
73,CLM100072,73,20230508,0,,0.0,0.0,Low,Low,0,Fast
74,CLM100073,74,20241130,0,,0.0,0.0,Low,Low,0,Fast
75,CLM100074,75,20220115,45774,Medium,1.0,1.0,Medium,Low,3,Fast
76,CLM100075,76,20220306,0,,0.0,0.0,Low,Low,0,Fast
77,CLM100076,77,20230605,0,,0.0,0.0,Low,Low,0,Fast
78,CLM100077,78,20231010,0,,0.0,0.0,Low,Low,0,Fast
79,CLM100078,79,20241222,0,,0.0,0.0,Low,Low,0,Fast
80,CLM100079,80,20230816,0,,0.0,0.0,Low,Low,0,Fast
81,CLM100080,81,20230127,0,,0.0,0.0,Low,Low,0,Fast
82,CLM100081,82,20230223,0,,0.0,0.0,Low,Low,0,Fast
83,CLM100082,83,20221016,0,,0.0,0.0,Low,Low,0,Fast
84,CLM100083,84,20230114,0,,0.0,0.0,Low,Low,0,Fast
85,CLM100084,85,20220819,0,,0.0,0.0,Low,Low,0,Fast
86,CLM100085,86,20241014,0,,0.0,0.0,Low,Low,0,Fast
87,CLM100086,87,20220210,0,,0.0,0.0,Low,Low,0,Fast
88,CLM100087,88,20241117,0,,0.0,0.0,Low,Low,0,Fast
89,CLM100088,89,20220515,0,,0.0,0.0,Low,Low,0,Fast
90,CLM100089,90,20220720,0,,0.0,0.0,Low,Low,0,Fast
91,CLM100090,91,20240219,0,,0.0,0.0,Low,Low,0,Fast
92,CLM100091,92,20240718,0,,0.0,0.0,Low,Low,0,Fast
93,CLM100092,93,20241122,0,,0.0,0.0,Low,Low,0,Fast
94,CLM100093,94,20241207,0,,0.0,0.0,Low,Low,0,Fast
95,CLM100094,95,20230518,0,,0.0,0.0,Low,Low,0,Fast
96,CLM100095,96,20230211,0,,0.0,0.0,Low,Low,0,Fast
97,CLM100096,97,20240315,0,,0.0,0.0,Low,Low,0,Fast
98,CLM100097,98,20220409,0,,0.0,0.0,Low,Low,0,Fast
99,CLM100098,99,20231115,0,,0.0,0.0,Low,Low,0,Fast
100,CLM100099,100,20231227,0,,0.0,0.0,Low,Low,0,Fast
101,CLM100100,101,20240818,0,,0.0,0.0,Low,Low,0,Fast
102,CLM100101,102,20230905,0,,0.0,0.0,Low,Low,0,Fast
103,CLM100102,103,20231005,0,,0.0,0.0,Low,Low,0,Fast
104,CLM100103,104,20241025,0,,0.0,0.0,Low,Low,0,Fast
105,CLM100104,105,20230518,0,,0.0,0.0,Low,Low,0,Fast
106,CLM100105,106,20240206,0,,0.0,0.0,Low,Low,0,Fast
107,CLM100106,107,20230202,0,,0.0,0.0,Low,Low,0,Fast
108,CLM100107,108,20240520,0,,0.0,0.0,Low,Low,0,Fast
109,CLM100108,109,20240305,0,,0.0,0.0,Low,Low,0,Fast
110,CLM100109,110,20230128,0,,0.0,0.0,Low,Low,0,Fast
111,CLM100110,111,20220726,0,,0.0,0.0,Low,Low,0,Fast
112,CLM100111,112,20241104,0,,0.0,0.0,Low,Low,0,Fast
113,CLM100112,113,20240610,0,,0.0,0.0,Low,Low,0,Fast
114,CLM100113,114,20240513,0,,0.0,0.0,Low,Low,0,Fast
115,CLM100114,115,20240113,0,,0.0,0.0,Low,Low,0,Fast
