quote_sk,quote_id,customer_sk,vehicle_sk,policy_sk,channel_sk,date_sk,quoted_premium,accepted_offer,conversion_flag,quote_status,quote_stage,device_type,quote_source,days_since_last_contact,quote_value_band
1,Q100000,1,1,1,138,20250517,3752.0,0,0,Abandoned,Document Upload,Tablet,Aggregator,259,Low
2,Q100001,2,2,2,138,20250924,4085.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,151,Low
3,Q100002,3,3,3,138,20250707,4510.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,292,Medium
4,Q100003,4,4,4,139,20251024,3920.0,0,0,Abandoned,Premium Calculation,Tablet,Mobile App,60,Low
5,Q100004,5,5,5,138,20250106,3756.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,54,Low
6,Q100005,6,6,6,138,20251029,3721.0,0,0,Abandoned,Premium Calculation,Tablet,Aggregator,132,Low
7,Q100006,7,7,7,138,20250813,4350.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,290,Low
8,Q100007,8,8,8,138,20250721,3670.0,0,0,Abandoned,Document Upload,Mobile,Website,35,Low
9,Q100008,9,9,9,138,20251007,4264.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,137,Low
10,Q100009,10,10,10,138,20250302,3771.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,51,Low
11,Q100010,11,11,11,138,20250503,4116.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,27,Low
12,Q100011,12,12,12,138,20250112,3864.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,24,Low
13,Q100012,13,13,13,138,20250612,3980.0,0,0,Abandoned,Premium Calculation,Desktop,Agent,172,Low
14,Q100013,14,14,14,138,20251218,4108.0,0,0,Abandoned,Premium Calculation,Mobile,Website,158,Low
15,Q100014,15,15,15,138,20250504,3737.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,184,Low
16,Q100015,16,16,16,138,20250905,4022.0,0,0,Abandoned,Document Upload,Desktop,Mobile App,93,Low
17,Q100016,17,17,17,138,20250511,3749.0,0,0,Abandoned,Premium Calculation,Mobile,Agent,183,Low
18,Q100017,18,18,18,138,20251219,4521.0,0,0,Abandoned,Premium Calculation,Mobile,Website,258,Medium
19,Q100018,19,19,19,138,20250307,4313.0,0,0,Abandoned,Premium Calculation,Tablet,Aggregator,221,Low
20,Q100019,20,20,20,138,20250121,3780.0,0,0,Abandoned,Document Upload,Desktop,Agent,147,Low
21,Q100020,21,21,21,138,20250322,4311.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,206,Low
22,Q100021,22,22,22,138,20250711,3958.0,0,0,Abandoned,Document Upload,Mobile,Mobile App,192,Low
23,Q100022,23,23,23,138,20250825,4419.0,0,0,Abandoned,Document Upload,Mobile,Website,58,Low
24,Q100023,24,24,24,138,20250613,3993.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,192,Low
25,Q100024,25,25,25,138,20251229,4141.0,0,0,Abandoned,Document Upload,Desktop,Agent,69,Low
26,Q100025,26,26,26,138,20250306,4063.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,243,Low
27,Q100026,27,27,27,138,20250208,4455.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,88,Low
28,Q100027,28,28,28,138,20250218,4035.0,0,0,Abandoned,Document Upload,Mobile,Website,114,Low
29,Q100028,29,29,29,138,20250118,3841.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,80,Low
30,Q100029,30,30,30,138,20250921,4605.0,0,0,Abandoned,Document Upload,Desktop,Website,232,Medium
31,Q100030,31,31,31,138,20250808,3926.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,161,Low
32,Q100031,32,32,32,138,20251107,3810.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,237,Low
33,Q100032,33,33,33,138,20251217,4109.0,0,0,Abandoned,Document Upload,Desktop,Aggregator,111,Low
34,Q100033,34,34,34,138,20251213,3963.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,292,Low
35,Q100034,35,35,35,138,20250311,3671.0,0,0,Abandoned,Premium Calculation,Tablet,Mobile App,93,Low
36,Q100035,36,36,36,134,20250624,3902.0,0,0,Abandoned,Premium Calculation,Mobile,Aggregator,255,Low
37,Q100036,37,37,37,138,20250623,4397.0,0,0,Abandoned,Premium Calculation,Desktop,Aggregator,165,Low
38,Q100037,38,38,38,138,20250913,4506.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,172,Medium
39,Q100038,39,39,39,138,20250410,4210.0,0,0,Abandoned,Document Upload,Mobile,Aggregator,237,Low
40,Q100039,40,40,40,138,20251110,4124.0,0,0,Abandoned,Premium Calculation,Desktop,Mobile App,262,Low
41,Q100040,41,41,41,138,20250701,3708.0,0,0,Abandoned,Document Upload,Desktop,Mobile App,139,Low
42,Q100041,42,42,42,138,20250920,4160.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,204,Low
43,Q100042,43,43,43,138,20250309,4331.0,0,0,Abandoned,Premium Calculation,Mobile,Mobile App,162,Low
44,Q100043,44,44,44,138,20250712,4125.0,0,0,Abandoned,Premium Calculation,Desktop,Website,247,Low
