underwriting_sk,policy_sk,customer_sk,vehicle_sk,underwriting_date_sk,risk_score,risk_band,fraud_probability,underwriting_decision,recommendation,manual_review_flag,review_time_minutes,premium_adjustment_pct,rules_triggered,ai_confidence,processing_mode,underwriter,sla_status,explanation_generated,model_version
1,1,1,1,20250131,30,Medium,0.3,Approved,Auto Approve,False,4,-3,5,82.06,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
2,2,2,2,20251230,13,Low,0.13,Approved,Auto Approve,False,2,-10,1,94.28,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
3,3,3,3,20240510,57,Medium,0.57,Manual Review,Refer Underwriter,True,26,8,6,96.28,Manual,Priya,Within SLA,True,UW_AI_v1.0
4,4,4,4,20250718,99,Very High,0.99,Rejected,Reject,False,23,32,2,90.84,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
5,5,5,5,20250204,75,High,0.75,Rejected,Reject,False,21,32,4,87.02,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
6,6,6,6,20241231,13,Low,0.13,Approved,Auto Approve,False,7,1,1,97.25,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
7,7,7,7,20260921,30,Medium,0.3,Approved,Auto Approve,False,7,0,7,91.84,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
8,8,8,8,20241110,37,Medium,0.37,Manual Review,Refer Underwriter,True,66,12,7,75.02,Manual,Rahul,SLA Breached,True,UW_AI_v2.0
9,9,9,9,20260627,37,Medium,0.37,Manual Review,Refer Underwriter,True,47,12,7,99.2,Manual,Alice,SLA Breached,True,UW_AI_v2.0
10,10,10,10,20220502,56,Medium,0.56,Manual Review,Refer Underwriter,True,75,6,6,92.77,Manual,David,SLA Breached,True,UW_AI_v2.0
11,11,11,11,20230412,44,Medium,0.44,Manual Review,Refer Underwriter,True,54,13,5,87.02,Manual,John,SLA Breached,True,UW_AI_v1.1
12,12,12,12,20250523,8,Low,0.08,Approved,Auto Approve,False,7,0,3,75.38,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
13,13,13,13,20221127,32,Medium,0.32,Approved,Auto Approve,False,7,-8,5,76.13,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
14,14,14,14,20260122,58,Medium,0.58,Manual Review,Refer Underwriter,True,76,13,7,99.1,Manual,Alice,SLA Breached,True,UW_AI_v1.0
15,15,15,15,20220329,72,High,0.72,Rejected,Reject,False,12,16,1,94.82,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
16,16,16,16,20251028,53,Medium,0.53,Manual Review,Refer Underwriter,True,39,4,2,77.41,Manual,Priya,SLA Breached,True,UW_AI_v1.0
17,17,17,17,20250128,10,Low,0.1,Approved,Auto Approve,False,6,1,4,93.63,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
18,18,18,18,20240521,37,Medium,0.37,Manual Review,Refer Underwriter,True,78,5,7,79.3,Manual,John,SLA Breached,True,UW_AI_v2.0
19,19,19,19,20260815,9,Low,0.09,Approved,Auto Approve,False,7,1,5,84.66,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
20,20,20,20,20220511,87,Very High,0.87,Rejected,Reject,False,5,30,7,87.6,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
21,21,21,21,20260813,22,Low,0.22,Approved,Auto Approve,False,3,3,7,97.51,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.0
22,22,22,22,20250825,7,Low,0.07,Approved,Auto Approve,False,7,-5,7,76.3,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v2.0
23,23,23,23,20240209,6,Low,0.06,Approved,Auto Approve,False,2,-4,7,78.35,Straight Through Processing,AI Engine,Within SLA,True,UW_AI_v1.1
24,24,24,24,20221210,69,High,0.69,Manual Review,Refer Underwriter,True,58,7,6,94.22,Manual,Priya,SLA Breached,True,UW_AI_v1.0
