policy_sk,policy_id,customer_sk,policy_tenure,policy_tenure_band,policy_type,policy_status,coverage_type,load_date,source_system
1,ID02475,1,0.081687535315239,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
2,ID32692,2,0.087227822634306,< 6 Months,Comprehensive,Expired,Gold,2026-08-01 17:22:07.750552,Insurance Claims
3,ID32711,3,0.693650963098713,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
4,ID28473,4,0.552959770261408,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
5,ID32744,5,0.365637484817446,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
6,ID02511,6,0.009434865845494,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
7,ID78248,7,0.085881086159701,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
8,ID78268,8,1.02399816639874,> 12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
9,ID78263,9,0.135833736218034,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
10,ID32621,10,0.836755708185355,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
11,ID32616,11,0.090609726338057,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
12,ID78539,12,0.006403091307343,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
13,ID32590,13,0.886363812281195,6-12 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
14,ID32586,14,1.18244171155297,> 12 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
15,ID91691,15,0.369377704003303,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
16,ID28456,16,0.120095371517547,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
17,ID88554,17,0.470215993018836,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
18,ID50105,18,0.725028102993747,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
19,ID50038,19,1.08695620152797,> 12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
20,ID18503,20,0.111648676427547,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
21,ID88616,21,0.086216208642533,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
22,ID49755,22,0.363848813307494,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
23,ID18661,23,0.298642299568791,< 6 Months,Third Party,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
24,ID88568,24,0.462364123171075,< 6 Months,Third Party,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
25,ID49766,25,0.158700645243949,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
26,ID49814,26,0.564406654254312,6-12 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
27,ID49941,27,0.265285866816036,< 6 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
28,ID49851,28,0.082006524486087,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
29,ID18621,29,0.103755049439811,< 6 Months,Comprehensive,Active,Basic,2026-08-01 17:22:07.750552,Insurance Claims
30,ID00075,30,1.19471042243915,> 12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
31,ID30031,31,0.692171725015106,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
32,ID78366,32,0.316628518190203,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
33,ID50396,33,0.135795166921356,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
34,ID18295,34,1.24558930324783,> 12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
35,ID50345,35,0.363904609603314,< 6 Months,Comprehensive,Expired,Silver,2026-08-01 17:22:07.750552,Insurance Claims
36,ID50381,36,0.006694046104489,< 6 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
37,ID18340,37,0.097665745098876,< 6 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
38,ID18337,38,0.543178134671044,6-12 Months,Comprehensive,Expired,Silver,2026-08-01 17:22:07.750552,Insurance Claims
39,ID50350,39,1.23784273013853,> 12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
40,ID49615,40,0.87246177656913,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
41,ID49631,41,0.948752659728088,6-12 Months,Third Party,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
42,ID18366,42,0.553428118414445,6-12 Months,Comprehensive,Active,Gold,2026-08-01 17:22:07.750552,Insurance Claims
43,ID82561,43,0.617548399934343,6-12 Months,Comprehensive,Active,Silver,2026-08-01 17:22:07.750552,Insurance Claims
