customer_sk,gender,customer_age,has_driving_license,previously_insured,region,age_band
1,Male,44,1,0,28.0,36-45
2,Male,76,1,0,3.0,60+
3,Male,47,1,0,28.0,46-60
4,Male,21,1,1,11.0,18-25
5,Female,29,1,1,41.0,26-35
6,Female,24,1,0,33.0,18-25
7,Male,23,1,0,11.0,18-25
8,Female,56,1,0,28.0,46-60
9,Female,24,1,1,3.0,18-25
10,Female,32,1,1,6.0,26-35
11,Female,47,1,0,35.0,46-60
12,Female,24,1,1,50.0,18-25
13,Female,41,1,1,15.0,36-45
14,Male,76,1,0,28.0,60+
15,Male,71,1,1,28.0,60+
16,Male,37,1,0,6.0,36-45
17,Female,25,1,0,45.0,18-25
18,Female,25,1,1,35.0,18-25
19,Male,42,1,0,28.0,36-45
20,Female,60,1,0,33.0,46-60
21,Male,65,1,0,28.0,60+
22,Male,49,1,0,28.0,46-60
23,Male,23,1,1,50.0,18-25
24,Male,44,1,0,28.0,36-45
25,Male,34,1,1,15.0,26-35
26,Female,21,1,1,28.0,18-25
27,Female,51,1,0,28.0,46-60
28,Male,26,1,1,6.0,26-35
29,Female,25,1,1,8.0,18-25
30,Male,57,1,0,11.0,46-60
31,Female,26,1,0,8.0,26-35
32,Male,79,1,0,28.0,60+
33,Female,48,1,0,28.0,46-60
34,Female,24,1,0,36.0,18-25
35,Female,32,1,1,30.0,26-35
36,Male,41,1,1,36.0,36-45
37,Male,71,1,1,8.0,60+
38,Female,25,1,1,28.0,18-25
39,Male,45,1,0,8.0,36-45
40,Male,72,1,1,41.0,60+
41,Male,30,1,0,30.0,26-35
42,Female,54,1,0,28.0,46-60
43,Male,27,1,0,41.0,26-35
44,Female,38,1,1,35.0,36-45
45,Female,26,1,1,30.0,26-35
46,Male,56,1,0,28.0,46-60
47,Female,29,1,1,15.0,26-35
48,Male,51,1,1,26.0,46-60
49,Female,25,1,0,15.0,18-25
50,Male,48,1,0,3.0,46-60
51,Female,22,1,0,50.0,18-25
52,Male,22,1,0,16.0,18-25
53,Female,49,1,1,3.0,46-60
54,Male,78,1,1,41.0,60+
55,Female,44,1,0,28.0,36-45
56,Female,20,1,0,47.0,18-25
57,Male,39,1,0,28.0,36-45
58,Male,54,1,0,28.0,46-60
59,Female,62,1,0,48.0,60+
60,Male,29,1,1,3.0,26-35
61,Male,49,1,0,8.0,46-60
62,Female,20,1,0,50.0,18-25
63,Female,62,1,0,28.0,60+
64,Male,58,1,1,19.0,46-60
65,Male,39,1,0,15.0,36-45
66,Female,59,1,0,30.0,46-60
67,Male,41,1,0,28.0,36-45
68,Male,60,1,0,28.0,46-60
69,Male,63,1,1,28.0,60+
70,Female,50,1,0,41.0,46-60
71,Male,44,1,0,47.0,36-45
72,Female,27,1,0,11.0,26-35
73,Female,23,1,1,39.0,18-25
74,Male,50,1,1,28.0,46-60
75,Male,59,1,0,23.0,46-60
76,Female,59,1,1,26.0,46-60
77,Male,67,1,1,28.0,60+
78,Female,27,1,1,33.0,26-35
79,Male,29,1,0,28.0,26-35
80,Male,77,1,1,37.0,60+
81,Male,54,1,0,26.0,46-60
82,Female,28,1,1,28.0,26-35
83,Female,39,1,1,8.0,36-45
84,Female,39,1,0,5.0,36-45
85,Male,69,1,0,28.0,60+
86,Female,21,1,0,17.0,18-25
87,Female,54,1,0,47.0,46-60
88,Male,25,1,0,23.0,18-25
89,Female,23,1,1,35.0,18-25
90,Female,20,1,0,36.0,18-25
91,Female,25,1,1,50.0,18-25
92,Female,26,1,1,30.0,26-35
93,Male,77,1,0,28.0,60+
94,Female,28,1,0,41.0,26-35
95,Female,23,1,0,15.0,18-25
96,Female,23,1,0,30.0,18-25
97,Male,50,1,0,28.0,46-60
98,Female,62,1,0,28.0,60+
99,Female,21,1,0,2.0,18-25
100,Female,24,1,1,7.0,18-25
101,Male,52,1,1,28.0,46-60
102,Male,24,1,1,3.0,18-25
103,Female,20,1,0,30.0,18-25
104,Female,22,1,1,8.0,18-25
105,Male,29,1,1,41.0,26-35
106,Female,44,1,0,28.0,36-45
107,Female,23,1,1,41.0,18-25
108,Male,31,1,0,29.0,26-35
109,Male,72,1,1,46.0,60+
110,Male,45,1,0,35.0,36-45
111,Male,27,1,1,8.0,26-35
112,Female,48,1,0,46.0,46-60
113,Female,33,1,1,30.0,26-35
114,Male,50,1,0,30.0,46-60
115,Female,28,1,1,30.0,26-35
116,Female,32,1,0,46.0,26-35
117,Male,69,1,0,46.0,60+
118,Female,32,1,1,27.0,26-35
119,Female,23,1,1,29.0,18-25
120,Female,23,1,0,25.0,18-25
121,Male,39,1,0,3.0,36-45
122,Female,39,1,1,28.0,36-45
123,Male,37,1,0,13.0,36-45
124,Male,34,1,0,18.0,26-35
125,Male,23,1,1,15.0,18-25
126,Male,49,1,0,28.0,46-60
127,Male,23,1,1,41.0,18-25
128,Female,22,1,0,25.0,18-25
129,Female,22,1,0,20.0,18-25
130,Female,27,1,1,41.0,26-35
131,Male,50,1,0,28.0,46-60
132,Female,27,1,1,28.0,26-35
133,Male,28,1,1,37.0,26-35
